Rank,Sourceid,Title,Type,Issn,SJR Best Quartile,Country,Areas
11621,30408,American Indian and Alaska Native Mental Health Research,journal,"15337731, 08935394",Q1,United States,Arts and Humanities; Medicine; Psychology; Social Sciences
11622,25165,Applied Mathematical Finance,journal,"1350486X, 14664313",Q2,United Kingdom,"Economics, Econometrics and Finance; Mathematics"
11623,27027,Applied Physics A: Materials Science and Processing,journal,"14320630, 09478396",Q2,Germany,Chemistry; Materials Science
11624,11700154369,Australian Journal of Management,journal,"13272020, 03128962",Q2,United Kingdom,"Business, Management and Accounting"
11625,4700152714,Cadernos de Pesquisa,journal,01001574,Q1,Brazil,Social Sciences
11626,21100803571,"Digital Policy, Regulation and Governance",journal,23985038,Q2,United Kingdom,"Business, Management and Accounting; Computer Science; Decision Sciences"
11627,21100438059,Engineering Solid Mechanics,journal,"22918752, 22918744",Q2,Canada,Engineering; Materials Science
11628,21100469911,"IEEE NETSOFT 2016 - 2016 IEEE NetSoft Conference and Workshops: Software-Defined Infrastructure for Networks, Clouds, IoT and Services",conference and proceedings,-,-,United States,Computer Science; Energy; Engineering; Mathematics; Physics and Astronomy
11629,6700153282,International Journal of Web and Grid Services,journal,"17411106, 17411114",Q2,United Kingdom,Computer Science
11630,23355,"Journal of Environmental Engineering, ASCE",journal,"07339372, 19437870",Q2,United States,Engineering; Environmental Science
11631,21100901614,Learning Health Systems,journal,23796146,Q3,United States,Health Professions; Medicine
11632,12100155713,Mental Lexicon,journal,"18711340, 18711375",Q1,Netherlands,Neuroscience; Social Sciences
11633,19700201212,Middle East African Journal of Ophthalmology,journal,"09749233, 09751599",Q3,India,Medicine
11634,51150,Opto-Electronics Review,journal,"12303402, 18963757",Q2,Netherlands,Engineering; Materials Science; Physics and Astronomy
11635,21100229165,Research in Learning Technology,journal,"21567077, 21567069",Q2,United Kingdom,Computer Science; Social Sciences
11636,29447,Review of Industrial Organization,journal,"0889938X, 15737160",Q2,Netherlands,"Business, Management and Accounting; Economics, Econometrics and Finance"
11637,21100266590,Revista de Contabilidad-Spanish Accounting Review,journal,"19884672, 11384891",Q2,United Kingdom,"Business, Management and Accounting"
11638,21100201535,World Transactions on Engineering and Technology Education,journal,14462257,Q1,Australia,Engineering; Social Sciences
11639,25566,Zidonghua Xuebao/Acta Automatica Sinica,journal,"18741029, 02544156",Q2,China,Computer Science; Engineering
11640,4100151511,Advances in Management Accounting,book series,14747871,Q2,United Kingdom,"Business, Management and Accounting"
11641,21100375851,Anuario de Psicologia Juridica,journal,"11330740, 21740542",Q2,Spain,Medicine; Psychology; Social Sciences
11642,145207,Asia Europe Journal,journal,16102932,Q2,Germany,"Business, Management and Accounting; Social Sciences"
11643,27719,Australian Journal of Forensic Sciences,journal,00450618,Q3,United Kingdom,Medicine
11644,19616,Australian Journal of Rural Health,journal,"14401584, 10385282",Q2,United Kingdom,Medicine
11645,19400158712,Chilean Journal of Agricultural Research,journal,"07185820, 07185839",Q2,Chile,Agricultural and Biological Sciences
11646,13519,Contemporary Southeast Asia,journal,0129797X,Q1,Singapore,Arts and Humanities; Social Sciences
11647,16400154737,Ethnomusicology,journal,00141836,Q1,United States,Arts and Humanities; Social Sciences
11648,85975,European Journal of Horticultural Science,journal,16114426,Q2,Germany,Agricultural and Biological Sciences
11649,20600195636,European Solid-State Device Research Conference,conference and proceedings,19308876,-,France,Engineering
11650,21100470131,"European Wireless Conference 2016, EW 2016",conference and proceedings,-,-,Finland,Computer Science
11651,4500151552,High Energy Density Physics,journal,15741818,Q3,Netherlands,Physics and Astronomy
11652,21100845200,International Journal of Community Based Nursing and Midwifery,journal,"23224835, 23222476",Q2,Iran,Medicine; Nursing; Social Sciences
11653,15662,International Review of Law and Economics,journal,01448188,Q2,United States,"Economics, Econometrics and Finance; Social Sciences"
11654,28604,"Izvestiya, Physics of the Solid Earth",journal,"10693513, 15556506",Q2,United States,Earth and Planetary Sciences; Environmental Science
11655,78605,Journal of Bioactive and Compatible Polymers,journal,"15308030, 08839115",Q2,United Kingdom,Chemical Engineering; Materials Science
11656,28208,Journal of Holistic Nursing,journal,"15525724, 08980101",Q2,United States,Nursing
11657,19700175157,Journal of Neonatal-Perinatal Medicine,journal,"18784429, 19345798",Q3,Netherlands,Medicine
11658,11300153404,Journal of the Korean Statistical Society,journal,12263192,Q3,South Korea,Mathematics
11659,25626,Multimedia Systems,journal,"14321882, 09424962",Q1,Germany,Computer Science; Engineering
11660,19700175027,Open Rheumatology Journal,journal,18743129,Q3,Netherlands,Medicine
11661,21100465092,"Proceedings - 2016 4th IEEE International Conference on Mobile Cloud Computing, Services, and Engineering, MobileCloud 2016",conference and proceedings,-,-,United States,Computer Science
11662,130089,Toxin Reviews,journal,"15569543, 15569551",Q3,United Kingdom,"Pharmacology, Toxicology and Pharmaceutics"
11663,21100324362,Urology Practice,journal,23520779,Q3,United States,Medicine
11664,16209,Acta Botanica Hungarica,journal,"15882578, 02366495",Q2,Hungary,Agricultural and Biological Sciences
11665,24656,American Mathematical Monthly,journal,00029890,Q3,United States,Mathematics
11666,17400154823,Arabian Journal of Geosciences (discontinued),journal,"18667538, 18667511",Q2,Germany,Earth and Planetary Sciences; Environmental Science
11667,19600166318,Current Aging Science,journal,18746128,Q3,United Arab Emirates,"Biochemistry, Genetics and Molecular Biology; Medicine"
11668,78470,Discrete Mathematics and Theoretical Computer Science,journal,"14627264, 13658050",Q2,France,Computer Science; Mathematics
11669,21100941001,Frontiers in Sustainable Food Systems,journal,2571581X,Q2,Switzerland,Agricultural and Biological Sciences; Environmental Science
11670,19700175280,IIMB Management Review,journal,09703896,Q2,United Kingdom,"Business, Management and Accounting; Economics, Econometrics and Finance"
11671,21467,International Quarterly of Community Health Education,journal,"0272684X, 15413519",Q2,United States,Medicine; Social Sciences
11672,21100211340,Medical Mycology Case Reports,journal,22117539,Q3,Netherlands,Immunology and Microbiology; Medicine
11673,51878,Medicina (Lithuania),journal,"1010660X, 16489144",Q3,Switzerland,Medicine
11674,28009,Minerva Ginecologica,journal,"00264784, 18271650",Q3,Italy,Medicine
11675,12174,"Navigation, Journal of the Institute of Navigation",journal,"00281522, 21614296",Q2,United States,Engineering
11676,21100788814,Physics in Medicine,journal,23524510,Q2,Netherlands,"Biochemistry, Genetics and Molecular Biology; Medicine; Physics and Astronomy"
11677,16300154701,PMLA,journal,00308129,Q1,United Kingdom,Arts and Humanities; Social Sciences
11678,5700164350,Social Theory and Health,journal,"14778211, 1477822X",Q2,United Kingdom,Social Sciences
11679,21100907367,Water Economics and Policy,journal,"2382624X, 23826258",Q2,Singapore,"Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science"
11680,73153,Weed Biology and Management,journal,"14446162, 14456664",Q2,United Kingdom,Agricultural and Biological Sciences
11681,21100788904,"2016 IEEE 18th International Conference on e-Health Networking, Applications and Services, Healthcom 2016",conference and proceedings,-,-,United States,"Business, Management and Accounting; Computer Science; Decision Sciences"
11682,7200153146,Annals of Cardiac Anaesthesia,journal,"09745181, 09719784",Q2,India,Medicine
11683,5800209860,Educational Philosophy and Theory,journal,"14695812, 00131857",Q2,United Kingdom,Arts and Humanities; Social Sciences
11684,6000194782,Games,journal,20734336,Q3,Switzerland,Decision Sciences; Mathematics
11685,22623,Geochemical Journal,journal,00167002,Q3,Japan,Earth and Planetary Sciences
11686,3900148214,International Journal of Business Information Systems,journal,"17460972, 17460980",Q2,United Kingdom,"Business, Management and Accounting; Decision Sciences"
11687,19600157217,International Journal of Intelligent Transportation Systems Research,journal,18688659,Q2,Germany,Computer Science; Engineering; Mathematics; Neuroscience
11688,13515,Journal of Aquatic Animal Health,journal,"08997659, 15488667",Q3,United States,Agricultural and Biological Sciences
11689,12485,Journal of Engineering Mathematics,journal,"15732703, 00220833",Q1,Netherlands,Engineering; Mathematics
11690,21100200826,Journal of Human Sport and Exercise,journal,19885202,Q2,Spain,Health Professions
11691,21100307455,Journal of Oral and Facial Pain and Headache,journal,"23330384, 23330376",Q2,United States,Dentistry; Medicine
11692,29956,Journal of Pediatric Hematology/Oncology,journal,"10774114, 15363678",Q3,United States,Medicine
11693,21100429296,Journal of Social Studies Education Research,journal,13099108,Q2,Turkey,Social Sciences
11694,21100329308,Journal of Vacuum Science and Technology B,journal,"21662746, 21662754",Q2,United States,Chemical Engineering; Engineering; Materials Science; Physics and Astronomy
11695,63779,Lake and Reservoir Management,journal,07438141,Q2,United Kingdom,Agricultural and Biological Sciences; Environmental Science
11696,29119,Physica C: Superconductivity and its Applications,journal,09214534,Q2,Netherlands,Energy; Engineering; Materials Science; Physics and Astronomy
11697,11700154335,Proceedings of Institution of Civil Engineers: Waste and Resource Management,journal,"17476526, 17476534",Q2,United Kingdom,Engineering; Environmental Science
11698,21100838131,Processes,journal,22279717,Q2,Switzerland,Chemical Engineering
11699,21100812581,Progress in Mathematics,book series,"07431643, 2296505X",Q3,Switzerland,Mathematics
11700,11500153309,Romanian Journal of Physics,journal,1221146X,Q3,Romania,Physics and Astronomy
11701,101730,Rudarsko Geolosko Naftni Zbornik,journal,"03534529, 18490409",Q2,Croatia,Earth and Planetary Sciences; Energy; Environmental Science
11702,21100469705,"WPA 2016 - Proceedings of the 3rd International Workshop on Physical Analytics, co-located with MobiSys 2016",conference and proceedings,-,-,United States,Social Sciences
11703,19700175176,Academy of Strategic Management Journal (discontinued),journal,"15441458, 19396104",Q2,United States,"Business, Management and Accounting"
11704,21100429293,Advances in Civil Engineering Materials,journal,"23791357, 21653984",Q2,United States,Engineering; Materials Science
11705,19700200705,Ain Shams Engineering Journal,journal,20904479,Q1,Egypt,Engineering
11706,19800188077,British Journal of Music Education,journal,"02650517, 14692104",Q1,United Kingdom,Arts and Humanities; Social Sciences
11707,145017,Chinese Journal of Integrative Medicine,journal,16720415,Q2,China,Medicine
11708,21100314709,Decision Science Letters,journal,"19295804, 19295812",Q2,Canada,Decision Sciences
11709,19700186953,Enterprise Development and Microfinance,journal,"17551978, 17551986",Q2,United Kingdom,Social Sciences
11710,21100469749,International Journal of Nursing Sciences,journal,23520132,Q2,Singapore,Nursing
11711,19900192552,Journal of Conservative Dentistry,journal,"09745203, 09720707",Q2,India,Dentistry
11712,25129,"Journal of Environmental Pathology, Toxicology and Oncology",journal,07318898,Q3,United States,"Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
11713,21100216323,"Journal of Neurological Surgery, Part A: Central European Neurosurgery",journal,"21936323, 21936315",Q3,Germany,Medicine
11714,19700175007,Journal of Research in Health Sciences,journal,"22287809, 22287795",Q3,Iran,Medicine
11715,21100286919,Journal of Water Reuse and Desalination,journal,"22201319, 24089370",Q2,United Kingdom,Chemical Engineering; Environmental Science
11716,18852,Revista Brasileira de Zootecnia,journal,"18069290, 15163598",Q2,Brazil,Agricultural and Biological Sciences
11717,21100801744,Violence and Gender,journal,"23267852, 23267836",Q1,United States,Medicine; Psychology; Social Sciences
11718,35872,American Journal of Potato Research,journal,"18749380, 1099209X",Q2,United States,Agricultural and Biological Sciences
11719,19700188351,Annals of Burns and Fire Disasters,journal,"15929566, 11211539",Q2,Italy,Medicine; Nursing
11720,24682,Australian Journal of Zoology,journal,0004959X,Q2,Australia,Agricultural and Biological Sciences
11721,15033,Deafness and Education International,journal,"14643154, 1557069X",Q2,United Kingdom,Health Professions; Social Sciences
11722,21100857389,Entrepreneurial Business and Economics Review,journal,"2353883X, 23538821",Q2,Poland,"Business, Management and Accounting; Economics, Econometrics and Finance"
11723,21100305226,Hungarian Geographical Bulletin,journal,"20645147, 20645031",Q2,Hungary,Earth and Planetary Sciences; Social Sciences
11724,21100222921,"IEEE International Workshop on Machine Learning for Signal Processing, MLSP",conference and proceedings,21610363,-,United States,Computer Science
11725,11800154542,"International Journal of Computers, Communications and Control",journal,"18419836, 18419844",Q2,Romania,Computer Science
11726,21100235612,International Journal of Technology,journal,20869614,Q1,Indonesia,"Business, Management and Accounting; Engineering"
11727,21100199538,International Symposium on Empirical Software Engineering and Measurement,conference and proceedings,19493770,-,United States,Computer Science
11728,13537,Iranian Polymer Journal (English Edition),journal,10261265,Q2,Switzerland,Chemical Engineering; Materials Science
11729,19700168801,Journal of Eurasian Studies,journal,18793665,Q1,South Korea,Arts and Humanities; Social Sciences
11730,21100299410,Journal of Management History,journal,"17587751, 17511348",Q2,United Kingdom,"Arts and Humanities; Business, Management and Accounting"
11731,27287,Journal of Network and Systems Management,journal,"15737705, 10647570",Q2,United States,"Business, Management and Accounting; Computer Science"
11732,17102,Journal of the American Animal Hospital Association,journal,"15473317, 05872871",Q2,United States,Veterinary
11733,15726,Kolner Zeitschrift fur Soziologie und Sozialpsychologie,journal,"00232653, 1861891X",Q2,Germany,Psychology; Social Sciences
11734,24773,Mendeleev Communications,journal,"1364551X, 09599436",Q2,Netherlands,Chemistry
11735,21100790086,MHFI 2016 - 1st Workshop on Multi-Sensorial Approaches to Human-Food Interaction,conference and proceedings,-,-,United States,Computer Science
11736,39159,Oxford Journal of Archaeology,journal,"02625253, 14680092",Q1,United Kingdom,Arts and Humanities; Social Sciences
11737,16882,Periodica Polytechnica: Civil Engineering,journal,"05536626, 15873773",Q2,Hungary,Earth and Planetary Sciences; Engineering
11738,20984,"Proceedings of the Institution of Mechanical Engineers, Part K: Journal of Multi-body Dynamics",journal,"20413068, 14644193",Q2,United Kingdom,Engineering; Physics and Astronomy
11739,19400157209,Revista Internacional de Medicina y Ciencias de la Actividad Fisica y del Deporte,journal,15770354,Q2,Spain,Health Professions
11740,18078,Robotica,journal,"02635747, 14698668",Q2,United Kingdom,Computer Science; Engineering; Mathematics
11741,19400157212,SHILAP Revista de lepidopterologia,journal,03005267,Q3,Spain,Agricultural and Biological Sciences
11742,60896,Sugar Tech,journal,"09740740, 09721525",Q2,India,Agricultural and Biological Sciences
11743,12909,Systems Research and Behavioral Science,journal,"10991743, 10927026",Q2,United Kingdom,"Business, Management and Accounting; Decision Sciences; Social Sciences"
11744,21100792082,"Vestnik Udmurtskogo Universiteta: Matematika, Mekhanika, Komp'yuternye Nauki",journal,"20765959, 19949197",Q2,Russian Federation,Chemical Engineering; Computer Science; Mathematics
11745,24017,ZWF Zeitschrift fÌ?r Wirtschaftlichen Fabrikbetrieb,journal,"09470085, 25110896",Q1,Germany,"Business, Management and Accounting; Decision Sciences; Engineering"
11746,21100817599,"2017 51st Annual Conference on Information Sciences and Systems, CISS 2017",conference and proceedings,-,-,United States,Computer Science; Physics and Astronomy; Social Sciences
11747,27489,Asian Geographer,journal,10225706,Q2,United Kingdom,Social Sciences
11748,21100399153,Boletin del Museo Chileno de Arte Precolombino,journal,"07161530, 07186894",Q1,Chile,Arts and Humanities; Social Sciences
11749,21100780829,Ekonomicheskaya Sotsiologiya,journal,17263247,Q2,Russian Federation,"Economics, Econometrics and Finance; Social Sciences"
11750,28154,Fennia,journal,"00150010, 17985617",Q2,Finland,Agricultural and Biological Sciences; Environmental Science; Social Sciences
11751,21100201309,International Journal of Dream Research,journal,18667953,Q3,Germany,Psychology
11752,19700188275,International Journal of Innovation Science,journal,"17572223, 17572231",Q1,United Kingdom,"Business, Management and Accounting; Engineering"
11753,21100844181,International Journal of Tourism Cities,journal,"20565615, 20565607",Q3,United Kingdom,"Business, Management and Accounting"
11754,3200147832,Journal of Building Physics,journal,17442591,Q2,United Kingdom,Engineering; Materials Science
11755,22586,Journal of Shellfish Research,journal,"07308000, 19436319",Q3,United States,Agricultural and Biological Sciences
11756,21100774305,"Journal of Sustainable Development of Energy, Water and Environment Systems",journal,18489257,Q2,Croatia,Energy; Environmental Science
11757,26192,Lymphology,journal,00247766,Q3,United States,Medicine
11758,21100228108,Minimally Invasive Surgery,journal,"20901453, 20901445",Q3,United States,Medicine
11759,21100326278,Polish Journal of Management Studies,journal,20817452,Q2,Poland,"Business, Management and Accounting"
11760,21550,Structural Chemistry,journal,"15729001, 10400400",Q3,United States,Chemistry; Physics and Astronomy
11761,19246,Techniques in Hand and Upper Extremity Surgery,journal,"10893393, 15316572",Q3,United States,Medicine
11762,21970,Theoretical Chemistry Accounts,journal,"1432881X, 14322234",Q3,United States,Chemistry
11763,19700182315,WMU Journal of Maritime Affairs,journal,"1651436X, 16541642",Q2,Germany,Engineering; Environmental Science; Social Sciences
11764,25225,Alcoholism Treatment Quarterly,journal,"15444538, 07347324",Q3,United States,Medicine
11765,21100258400,Blood Research,journal,"2287979X, 22880011",Q3,South Korea,Medicine
11766,21100398885,Carbon Letters,journal,"22334998, 19764251",Q2,Singapore,Chemical Engineering; Chemistry; Energy; Materials Science
11767,145560,Diachronica,journal,"01764225, 15699714",Q1,Netherlands,Arts and Humanities; Social Sciences
11768,144739,Facilities,journal,02632772,Q1,United Kingdom,Engineering; Social Sciences
11769,19500157820,GMS German Medical Science,journal,16123174,Q3,Germany,Medicine
11770,13371,HEC Forum,journal,"09562737, 15728498",Q3,Netherlands,Medicine; Nursing; Social Sciences
11771,12679,IEEE Technology and Society Magazine,journal,02780097,Q1,United States,Engineering; Social Sciences
11772,20600195073,International Indigenous Policy Journal,journal,19165781,Q1,United Kingdom,Social Sciences
11773,20201,International Journal of Manpower,journal,01437720,Q2,United Kingdom,"Business, Management and Accounting"
11774,19600161833,Journal fur Mathematik-Didaktik,journal,"01735322, 18692699",Q2,Germany,Mathematics; Social Sciences
11775,27372,Journal of Coastal Conservation,journal,"18747841, 14000350",Q2,Netherlands,Earth and Planetary Sciences; Environmental Science
11776,12725,Journal of Coatings Technology Research,journal,"15470091, 19353804",Q2,United States,Chemical Engineering; Chemistry; Materials Science; Physics and Astronomy
11777,20580,Journal of Food Biochemistry,journal,"17454514, 01458884",Q3,United States,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
11778,19900192156,"Journal of Hazardous, Toxic, and Radioactive Waste",journal,"21535493, 21535515",Q2,United States,Chemical Engineering; Earth and Planetary Sciences; Environmental Science
11779,9500154104,Journal of Nanophotonics,journal,19342608,Q3,United States,Materials Science; Physics and Astronomy
11780,23089,Journal of Pharmacy and Pharmaceutical Sciences,journal,14821826,Q2,Canada,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
11781,20500195024,Journal of Quantitative Analysis in Sports,journal,15590410,Q2,Germany,Decision Sciences; Social Sciences
11782,19120,Journal of the American Mosquito Control Association,journal,"8756971X, 19436270",Q3,United States,Agricultural and Biological Sciences; Medicine
11783,6300153121,Journal of Theoretical and Applied Electronic Commerce Research,journal,07181876,Q2,Switzerland,"Business, Management and Accounting; Computer Science"
11784,14023,Paleontological Research,journal,13428144,Q3,Japan,Agricultural and Biological Sciences; Earth and Planetary Sciences
11785,11400153330,"Recent Patents on Endocrine, Metabolic and Immune Drug Discovery",journal,"18722148, 22123334",Q3,United Arab Emirates,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
11786,21553,Structure and Bonding,book series,"16168550, 00815993",Q3,Germany,Chemistry
11787,14717,Technology and Culture,journal,"10973729, 0040165X",Q1,United States,Arts and Humanities; Engineering
11788,5800208246,TESOL Journal,journal,10567941,Q1,United States,Social Sciences
11789,15930,Zeitschrift fur Padagogische Psychologie,journal,10100652,Q3,Switzerland,Psychology
11790,5700168544,Adoption &amp; Fostering,journal,"1740469X, 03085759",Q2,United Kingdom,Psychology; Social Sciences
11791,29474,American Journal of Psychology,journal,"19398298, 00029556",Q2,United States,Arts and Humanities; Psychology
11792,25193,Applied Sciences,journal,14545101,Q1,Romania,Chemical Engineering; Computer Science; Engineering; Materials Science; Mathematics; Physics and Astronomy
11793,24684,Atlantic Geology,journal,08435561,Q3,Canada,Earth and Planetary Sciences
11794,21100244205,Case Studies in Engineering Failure Analysis,journal,22132902,Q2,United Kingdom,Engineering
11795,5600153503,Critical Review of International Social and Political Philosophy,journal,"13698230, 17438772",Q1,United Kingdom,Arts and Humanities; Social Sciences
11796,25836,Current Organic Chemistry,journal,"13852728, 18755348",Q3,United Arab Emirates,Chemistry
11797,20328,Ecoscience,journal,11956860,Q2,United Kingdom,Agricultural and Biological Sciences; Environmental Science
11798,16116,Indian Journal of Psychiatry,journal,"00195545, 19983794",Q3,India,Medicine
11799,24023,Journal of Chromatographic Science,journal,"00219665, 1945239X",Q3,United States,Chemistry; Medicine
11800,27230,Journal of Medical Investigation,journal,"13431420, 13496867",Q3,Japan,"Biochemistry, Genetics and Molecular Biology; Medicine"
11801,5700164130,Latino Studies,journal,"14763443, 14763435",Q1,United Kingdom,Arts and Humanities; Social Sciences
11802,19900195028,SA Journal of Industrial Psychology,journal,"20710763, 02585200",Q3,South Africa,Psychology
11803,5800173396,Sequential Analysis,journal,"07474946, 15324176",Q3,United States,Mathematics
11804,19700177337,Social Network Analysis and Mining,journal,"18695450, 18695469",Q1,Austria,Computer Science; Engineering; Social Sciences
11805,4900153101,Steel in Translation,journal,"19350988, 09670912",Q2,United States,Materials Science
11806,5800179597,Training and Education in Professional Psychology,journal,19313918,Q2,United States,Psychology; Social Sciences
11807,5900152783,Visual Studies,journal,"1472586X, 14725878",Q1,United Kingdom,Arts and Humanities; Social Sciences
11808,26427,Zhongguo Tiedao Kexue/China Railway Science,journal,10014632,Q2,China,Engineering
11809,4900152701,Brazilian Journal of Cardiovascular Surgery,journal,"01027638, 16789741",Q3,Brazil,Medicine
11810,37794,Canadian Journal of Animal Science,journal,00083984,Q2,Canada,Agricultural and Biological Sciences; Veterinary
11811,19700190348,Coaching,journal,"17521890, 17521882",Q2,United States,"Business, Management and Accounting; Psychology"
11812,17948,Dendrobiology,journal,16411307,Q2,Poland,Agricultural and Biological Sciences
11813,16300154741,Global Media and Communication,journal,"17427665, 17427673",Q2,United Kingdom,Arts and Humanities; Social Sciences
11814,21100854826,Hepatic Oncology,journal,20450923,Q3,United Kingdom,Medicine
11815,21100466874,"Infection, Disease and Health",journal,24680451,Q2,Australia,Medicine; Nursing
11816,14737,International Journal of Artificial Organs,journal,"03913988, 17246040",Q3,Italy,Chemical Engineering; Engineering; Materials Science; Medicine
11817,19900193251,Journal of International Accounting Research,journal,"15588025, 15426297",Q2,United States,"Business, Management and Accounting"
11818,11900154311,Mathematica Slovaca,journal,"01399918, 13372211",Q3,Poland,Mathematics
11819,19400158901,Perfiles Educativos,journal,01852698,Q2,Mexico,Social Sciences
11820,4700152500,Revista Brasileira de Fruticultura,journal,01002945,Q2,Brazil,Agricultural and Biological Sciences
11821,19700182651,Russian Mathematics,journal,"1066369X, 1934810X",Q3,United States,Mathematics
11822,21100805776,"SmartObject 2017 - Proceedings of the 2017 ACM Workshop on Interacting with Smart Objects, co-located with IUI 2017",conference and proceedings,-,-,United States,Computer Science; Engineering
11823,22092,Thermal Engineering (English translation of Teploenergetika),journal,"00406015, 15556301",Q2,United States,Energy
11824,7400153102,AMIA ... Annual Symposium proceedings / AMIA Symposium. AMIA Symposium,journal,"15594076, 1942597X",Q3,United States,Medicine
11825,94203,Anthropology and Medicine,journal,"14692910, 13648470",Q2,United Kingdom,Arts and Humanities; Medicine; Social Sciences
11826,17400154809,Biomolecular NMR Assignments,journal,"1874270X, 18742718",Q3,Netherlands,"Biochemistry, Genetics and Molecular Biology"
11827,21100463829,Chinese Journal of Population Resources and Environment,journal,"23254262, 10042857",Q2,United Kingdom,"Environmental Science; Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
11828,19700182027,Functional Materials Letters,journal,"17936047, 17937213",Q2,Singapore,Materials Science
11829,110071,Geologie und Palaeontologie in Westfalen,journal,0176148X,Q3,Germany,Earth and Planetary Sciences
11830,59917,HNO,journal,"00176192, 14330458",Q3,Germany,Medicine
11831,29490,IAHS-AISH Proceedings and Reports,conference and proceedings,01447815,-,United Kingdom,Earth and Planetary Sciences; Environmental Science
11832,21100202940,International Journal of Multicultural Education,journal,19345267,Q1,United States,Social Sciences
11833,19764,Intervirology,journal,"03005526, 14230100",Q3,Switzerland,Immunology and Microbiology; Medicine
11834,28160,Issues in Mental Health Nursing,journal,"10964673, 01612840",Q3,United Kingdom,Medicine
11835,40738,Journal of Animal and Feed Sciences,journal,"12301388, 27198448",Q2,Poland,Agricultural and Biological Sciences
11836,21100434604,Journal of Skin Cancer,journal,"20902913, 20902905",Q3,Egypt,Medicine
11837,17141,Journal of the Textile Institute,journal,"17542340, 00405000",Q2,United Kingdom,Agricultural and Biological Sciences; Engineering; Materials Science
11838,21100855510,Journal of Transportation Engineering Part B: Pavements,journal,25735438,Q2,United States,Engineering; Social Sciences
11839,24478,Lithuanian Mathematical Journal,journal,"03631672, 15738825",Q3,Germany,Mathematics
11840,19700180522,Molecular and Cellular Toxicology,journal,"20928467, 1738642X",Q2,Germany,"Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
11841,12756,"Nonlinear Dynamics, Psychology, and Life Sciences",journal,"15736652, 10900578",Q3,United States,Mathematics
11842,21445,Polymer Bulletin,journal,"14362449, 01700839",Q2,Germany,Chemistry; Materials Science; Physics and Astronomy
11843,21100390416,Post Reproductive Health,journal,"20533691, 20533705",Q3,United States,Medicine
11844,21100775610,"Proceedings - 2016 IEEE International Conference on Software Testing, Verification and Validation, ICST 2016",conference and proceedings,-,-,United States,Computer Science
11845,4700152488,Proceedings of the Steklov Institute of Mathematics,journal,"00815438, 15318605",Q3,United States,Mathematics
11846,19752,Reumatologia,journal,"00346233, 20849834",Q3,Poland,Immunology and Microbiology; Medicine
11847,21100239606,Therapeutic Innovation and Regulatory Science,journal,"21684790, 21684804",Q2,United States,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
11848,27047,American Journal of Dermatopathology,journal,"15330311, 01931091",Q3,United States,Medicine
11849,18156,Computer Applications in Engineering Education,journal,"10990542, 10613773",Q1,United States,Computer Science; Engineering; Social Sciences
11850,4400151520,Diving and Hyperbaric Medicine,journal,18333516,Q3,Australia,Medicine
11851,21100790799,Fossil Imprint,journal,"25334050, 25334069",Q3,Czech Republic,Agricultural and Biological Sciences; Earth and Planetary Sciences
11852,13380,Health Services Management Research,journal,"17581044, 09514848",Q3,United Kingdom,Medicine
11853,20600195623,IEEE Power and Energy Society General Meeting,conference and proceedings,19449925,-,United States,Energy; Engineering
11854,21100897717,Informatics,journal,22279709,Q2,Switzerland,Computer Science; Social Sciences
11855,26672,International Journal of Ambient Energy,journal,"21628246, 01430750",Q2,United Kingdom,Energy; Engineering
11856,32210,"International Journal of Engineering, Transactions A: Basics",journal,17281431,Q1,Iran,Engineering
11857,11500153412,International Journal of Environmental Research,journal,17356865,Q2,Switzerland,Environmental Science
11858,29550,Journal of Biochemical and Molecular Toxicology,journal,"10956670, 10990461",Q3,United States,"Biochemistry, Genetics and Molecular Biology; Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
11859,29572,Journal of Biological Regulators and Homeostatic Agents,journal,"17246083, 0393974X",Q3,Italy,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
11860,21100370349,Journal of Criminal Psychology,journal,20093829,Q2,United Kingdom,Psychology; Social Sciences
11861,15400154800,Journal of Gastrointestinal Cancer,journal,"19416636, 19416628",Q3,United States,Medicine
11862,5800207559,Language and Linguistics,journal,1606822X,Q1,Taiwan,Social Sciences
11863,26205,Minerva Endocrinologica,journal,"03911977, 18271634",Q3,Italy,"Biochemistry, Genetics and Molecular Biology; Medicine"
11864,16408,Ochsner Journal,journal,15245012,Q3,United States,Medicine
11865,145752,Proceedings of the ACM/IEEE Joint Conference on Digital Libraries,conference and proceedings,15525996,-,United States,Engineering
11866,21100344997,Research Ethics,journal,"17470161, 20476094",Q1,United Kingdom,Arts and Humanities; Social Sciences
11867,21100200812,Revista de Psicopatologia y Psicologia Clinica,journal,11365420,Q3,Spain,Medicine; Psychology
